"","Title","cluster"
"577","Coneheads (1993)",2
"578","Demolition Man (1993)",2
"579","Fatal Instinct (1993)",4
"580","Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",5
"581","Kalifornia (1993)",2
"582","Piano, The (1993)",5
"583","Romeo Is Bleeding (1993)",2
"584","Secret Garden, The (1993)",1
"585","Son in Law (1993)",4
"586","Terminal Velocity (1994)",2
"587","Hour of the Pig, The (1993)",2
"588","Beauty and the Beast (1991)",1
"589","Wild Bunch, The (1969)",1
"590","Hellraiser: Bloodline (1996)",2
"591","Primal Fear (1996)",2
"592","True Crime (1995)",2
"593","Stalingrad (1993)",1
"594","Heavy (1995)",5
"595","Fan, The (1996)",2
"596","Hunchback of Notre Dame, The (1996)",1
"597","Eraser (1996)",2
"598","Big Squeeze, The (1996)",6
"599","Police Story 4: Project S (Chao ji ji hua) (1993)",2
"600","Daniel Defoe's Robinson Crusoe (1996)",1
"601","For Whom the Bell Tolls (1943)",2
"602","American in Paris, An (1951)",1
"603","Rear Window (1954)",2
"604","It Happened One Night (1934)",4
"605","Meet Me in St. Louis (1944)",1
"606","All About Eve (1950)",3
"607","Rebecca (1940)",5
"608","Spellbound (1945)",2
"609","Father of the Bride (1950)",4
"610","Gigi (1958)",1
"611","Laura (1944)",2
"612","Lost Horizon (1937)",3
"613","My Man Godfrey (1936)",4
"614","Giant (1956)",3
"615","39 Steps, The (1935)",2
"616","Night of the Living Dead (1968)",2
"617","Blue Angel, The (Blaue Engel, Der) (1930)",3
"618","Picnic (1955)",3
"619","Extreme Measures (1996)",2
"620","Chamber, The (1996)",3
"621","Davy Crockett, King of the Wild Frontier (1955)",1
"622","Swiss Family Robinson (1960)",1
"623","Angels in the Outfield (1994)",1
"624","Three Caballeros, The (1945)",1
"625","Sword in the Stone, The (1963)",1
"626","So Dear to My Heart (1949)",1
"627","Robin Hood: Prince of Thieves (1991)",3
"628","Sleepers (1996)",2
"629","Victor/Victoria (1982)",1
"630","Great Race, The (1965)",1
"631","Crying Game, The (1992)",1
"632","Sophie's Choice (1982)",3
"633","Christmas Carol, A (1938)",3
"634","Microcosmos: Le peuple de l'herbe (1996)",1
"635","Fog, The (1980)",1
"636","Escape from New York (1981)",2
"637","Howling, The (1981)",1
"638","Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",3
"639","Tin Drum, The (Blechtrommel, Die) (1979)",3
"640","Cook the Thief His Wife & Her Lover, The (1989)",3
"641","Paths of Glory (1957)",1
"642","Grifters, The (1990)",2
"643","The Innocent (1994)",5
"644","Thin Blue Line, The (1988)",1
"645","Paris Is Burning (1990)",1
"646","Once Upon a Time in the West (1969)",1
"647","Ran (1985)",1
"648","Quiet Man, The (1952)",5
"649","Once Upon a Time in America (1984)",2
"650","Seventh Seal, The (Sjunde inseglet, Det) (1957)",3
"651","Glory (1989)",1
"652","Rosencrantz and Guildenstern Are Dead (1990)",6
"653","Touch of Evil (1958)",2
"654","Chinatown (1974)",2
"655","Stand by Me (1986)",1
"656","M (1931)",2
"657","Manchurian Candidate, The (1962)",2
"658","Pump Up the Volume (1990)",3
"659","Arsenic and Old Lace (1944)",2
"660","Fried Green Tomatoes (1991)",3
"661","High Noon (1952)",1
"662","Somewhere in Time (1980)",5
"663","Being There (1979)",4
"664","Paris, Texas (1984)",3
"665","Alien 3 (1992)",2
"666","Blood For Dracula (Andy Warhol's Dracula) (1974)",1
"667","Audrey Rose (1977)",1
"668","Blood Beach (1981)",2
"669","Body Parts (1991)",1
"670","Body Snatchers (1993)",2
"671","Bride of Frankenstein (1935)",1
"672","Candyman (1992)",1
"673","Cape Fear (1962)",2
"674","Cat People (1982)",1
"675","Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",1
"676","Crucible, The (1996)",3
"677","Fire on the Mountain (1996)",1
"678","Volcano (1997)",2
"679","Conan the Barbarian (1981)",2
"680","Kull the Conqueror (1997)",2
"681","Wishmaster (1997)",1
"682","I Know What You Did Last Summer (1997)",2
"683","Rocket Man (1997)",4
"684","In the Line of Fire (1993)",2
"685","Executive Decision (1996)",2
"686","Perfect World, A (1993)",2
"687","McHale's Navy (1997)",1
"688","Leave It to Beaver (1997)",4
"689","Jackal, The (1997)",2
"690","Seven Years in Tibet (1997)",1
"691","Dark City (1998)",2
"692","American President, The (1995)",5
"693","Casino (1995)",3
"694","Persuasion (1995)",5
"695","Kicking and Screaming (1995)",6
"696","City Hall (1996)",2
"697","Basketball Diaries, The (1995)",3
"698","Browning Version, The (1994)",3
"699","Little Women (1994)",3
"700","Miami Rhapsody (1995)",4
"701","Wonderful, Horrible Life of Leni Riefenstahl, The (1993)",1
"702","Barcelona (1994)",5
"703","Widows' Peak (1994)",3
"704","House of the Spirits, The (1993)",5
"705","Singin' in the Rain (1952)",1
"706","Bad Moon (1996)",1
"707","Enchanted April (1991)",3
"708","Sex, Lies, and Videotape (1989)",3
"709","Strictly Ballroom (1992)",5
"710","Better Off Dead... (1985)",4
"711","Substance of Fire, The (1996)",3
"712","Tin Men (1987)",6
"713","Othello (1995)",3
"714","Carrington (1995)",5
"715","To Die For (1995)",6
"716","Home for the Holidays (1995)",5
"717","Juror, The (1996)",2
"718","In the Bleak Midwinter (1995)",4
"719","Canadian Bacon (1994)",1
"720","First Knight (1995)",2
"721","Mallrats (1995)",4
"722","Nine Months (1995)",4
"723","Boys on the Side (1995)",6
"724","Circle of Friends (1995)",5
"725","Exit to Eden (1994)",4
"726","Fluke (1995)",1
"727","Immortal Beloved (1994)",5
"728","Junior (1994)",2
"729","Nell (1994)",3
"730","Queen Margot (Reine Margot, La) (1994)",5
"731","Corrina, Corrina (1994)",5
"732","Dave (1993)",5
"733","Go Fish (1994)",5
"734","Made in America (1993)",4
"735","Philadelphia (1993)",3
"736","Shadowlands (1993)",5
"737","Sirens (1994)",6
"738","Threesome (1994)",5
"739","Pretty Woman (1990)",5
"740","Jane Eyre (1996)",5
"741","Last Supper, The (1995)",2
"742","Ransom (1996)",2
"743","Crow: City of Angels, The (1996)",2
"744","Michael Collins (1996)",1
"745","Ruling Class, The (1972)",4
"746","Real Genius (1985)",4
"747","Benny & Joon (1993)",5
"748","Saint, The (1997)",5
"749","MatchMaker, The (1997)",5
"750","Amistad (1997)",3
"751","Tomorrow Never Dies (1997)",5
"752","Replacement Killers, The (1998)",2
"753","Burnt By the Sun (1994)",3
"754","Red Corner (1997)",2
"755","Jumanji (1995)",1
"756","Father of the Bride Part II (1995)",4
"757","Across the Sea of Time (1995)",1
"758","Lawnmower Man 2: Beyond Cyberspace (1996)",2
"759","Fair Game (1995)",2
"760","Screamers (1995)",2
"761","Nick of Time (1995)",2
"762","Beautiful Girls (1996)",3
"763","Happy Gilmore (1996)",4
"764","If Lucy Fell (1996)",5
